Date,Open,High,Low,Close,Volume
2024-01-02,100.00,102.50,99.50,101.20,1500000
2024-01-03,101.20,103.00,100.80,102.50,1600000
2024-01-04,102.50,104.00,101.50,103.80,1400000
2024-01-05,103.80,105.00,102.00,104.50,1700000
2024-01-08,104.50,106.00,103.50,105.20,1550000
2024-01-09,105.20,107.00,104.00,106.80,1800000
2024-01-10,106.80,108.00,105.50,107.50,1650000
2024-01-11,107.50,109.00,106.00,108.20,1900000
2024-01-12,108.20,110.00,107.00,109.50,1750000
2024-01-16,109.50,111.00,108.00,110.20,1600000
2024-01-17,110.20,112.00,109.00,111.80,1850000
2024-01-18,111.80,113.00,110.50,112.50,1700000
2024-01-19,112.50,114.00,111.00,113.20,1950000
2024-01-22,113.20,115.00,112.00,114.80,1800000
2024-01-23,114.80,116.00,113.50,115.50,1650000
2024-01-24,115.50,117.00,114.00,116.20,1900000
2024-01-25,116.20,118.00,115.00,117.50,1750000
2024-01-26,117.50,119.00,116.00,118.20,1600000
2024-01-29,118.20,120.00,117.00,119.80,1850000
2024-01-30,119.80,121.00,118.50,120.50,1700000
2024-01-31,120.50,122.00,119.00,121.20,1950000
2024-02-01,121.20,123.00,120.00,122.50,1800000
2024-02-02,122.50,124.00,121.00,123.20,1650000
2024-02-05,123.20,125.00,122.00,124.80,1900000
2024-02-06,124.80,126.00,123.50,125.50,1750000
2024-02-07,125.50,127.00,124.00,126.20,1600000
2024-02-08,126.20,128.00,125.00,127.50,1850000
2024-02-09,127.50,129.00,126.00,128.20,1700000
2024-02-12,128.20,130.00,127.00,129.80,1950000
2024-02-13,129.80,131.00,128.50,130.50,1800000
2024-02-14,130.50,132.00,129.00,131.20,1650000
2024-02-15,131.20,133.00,130.00,132.50,1900000
2024-02-16,132.50,134.00,131.00,133.20,1750000
2024-02-20,133.20,135.00,132.00,134.80,1600000
2024-02-21,134.80,136.00,133.50,135.50,1850000
2024-02-22,135.50,137.00,134.00,136.20,1700000
2024-02-23,136.20,138.00,135.00,137.50,1950000
2024-02-26,137.50,139.00,136.00,138.20,1800000
2024-02-27,138.20,140.00,137.00,139.80,1650000
2024-02-28,139.80,141.00,138.50,140.50,1900000
2024-02-29,140.50,142.00,139.00,141.20,1750000
2024-03-01,141.20,143.00,140.00,142.50,1600000
2024-03-04,142.50,144.00,141.00,143.20,1850000
2024-03-05,143.20,145.00,142.00,144.80,1700000
2024-03-06,144.80,146.00,143.50,145.50,1950000
2024-03-07,145.50,147.00,144.00,146.20,1800000
2024-03-08,146.20,148.00,145.00,147.50,1650000
2024-03-11,147.50,149.00,146.00,148.20,1900000
2024-03-12,148.20,150.00,147.00,149.80,1750000
2024-03-13,149.80,151.00,148.50,150.50,1600000
2024-03-14,150.50,152.00,149.00,151.20,1850000
2024-03-15,151.20,153.00,150.00,152.50,1700000
